"Won_Series","Seed_Diff","Pyt_Win_Pct_Diff","eFG..Misc","TOV..Misc","ORB..Misc","FT.FGA.Misc","Opp.eFG..Misc","Opp.TOV..Misc","DRB..Misc","eFG..Misc_._Opponent","TOV..Misc_._Opponent","ORB..Misc_._Opponent","FT.FGA.Misc_._Opponent","Opp.eFG..Misc_._Opponent","Opp.TOV..Misc_._Opponent","DRB..Misc_._Opponent","Opp.FT.FGA.Misc_._Opponent","id"
1,7,0.073170731707317,0.525,12.2,21.2,0.22,0.503,12.6,75.3,0.487,12.3,27,0.206,0.507,12.4,76.8,0.169,"/teams/BOS/2017.htmlFirst"
1,5,0.109756097560976,0.547,12.6,21.9,0.206,0.516,11.4,75.8,0.516,12.8,21.2,0.212,0.512,13.6,75.5,0.225,"/teams/CLE/2017.htmlFirst"
1,3,0.146341463414634,0.517,11.8,25,0.233,0.507,13.5,76.3,0.527,13.2,21.5,0.21,0.518,13.6,75.4,0.215,"/teams/TOR/2017.htmlFirst"
1,1,0.0853658536585367,0.528,12.8,24.1,0.199,0.524,13.8,75.5,0.504,14.2,23.6,0.215,0.507,13.8,76.1,0.179,"/teams/WAS/2017.htmlFirst"
1,7,0.329268292682927,0.563,13.2,22.8,0.204,0.486,13.5,74.9,0.52,12.5,23,0.214,0.508,11.6,76.8,0.241,"/teams/GSW/2017.htmlFirst"
1,5,0.219512195121951,0.524,12.6,24,0.21,0.492,13.5,77.6,0.491,12.1,24.8,0.219,0.506,13.6,77.5,0.256,"/teams/SAS/2017.htmlFirst"
1,3,0.146341463414634,0.545,13.3,24.6,0.233,0.519,13.2,75.8,0.5,13.2,27.9,0.22,0.511,12.5,79,0.218,"/teams/HOU/2017.htmlFirst"
0,1,0,0.537,12,21.5,0.233,0.506,12.1,76.9,0.526,13.2,23.2,0.215,0.493,11.8,78.9,0.195,"/teams/LAC/2017.htmlFirst"
1,1,-0.0365853658536586,0.547,12.6,21.9,0.206,0.516,11.4,75.8,0.517,11.8,25,0.233,0.507,13.5,76.3,0.223,"/teams/CLE/2017.htmlSemifinals"
1,3,0.0243902439024389,0.525,12.2,21.2,0.22,0.503,12.6,75.3,0.528,12.8,24.1,0.199,0.524,13.8,75.5,0.213,"/teams/BOS/2017.htmlSemifinals"
1,4,0.182926829268293,0.563,13.2,22.8,0.204,0.486,13.5,74.9,0.526,13.2,23.2,0.215,0.493,11.8,78.9,0.195,"/teams/GSW/2017.htmlSemifinals"
1,1,0.0609756097560975,0.524,12.6,24,0.21,0.492,13.5,77.6,0.545,13.3,24.6,0.233,0.519,13.2,75.8,0.194,"/teams/SAS/2017.htmlSemifinals"
1,1,0.0853658536585366,0.563,13.2,22.8,0.204,0.486,13.5,74.9,0.524,12.6,24,0.21,0.492,13.5,77.6,0.192,"/teams/GSW/2017.htmlFinals"
0,1,-0.0121951219512195,0.525,12.2,21.2,0.22,0.503,12.6,75.3,0.547,12.6,21.9,0.206,0.516,11.4,75.8,0.174,"/teams/BOS/2017.htmlFinals"
1,7,0.170731707317073,0.524,12.7,25.1,0.194,0.496,12.6,78.5,0.491,12.2,27,0.197,0.504,12.5,79.3,0.196,"/teams/CLE/2016.htmlFirst"
1,5,0.0853658536585366,0.504,12.3,24.6,0.255,0.498,12.7,77.7,0.497,13.5,23.4,0.205,0.489,14.3,76,0.205,"/teams/TOR/2016.htmlFirst"
1,3,-0.0365853658536585,0.508,13.3,23.8,0.21,0.485,12.1,77.8,0.502,11.7,20,0.222,0.496,12.5,79.8,0.191,"/teams/MIA/2016.htmlFirst"
1,1,0.0121951219512195,0.516,13.8,19.1,0.185,0.48,14.4,74.6,0.488,12.1,25.1,0.208,0.487,14.6,74.6,0.231,"/teams/ATL/2016.htmlFirst"
1,7,0.280487804878049,0.563,13.5,23.5,0.191,0.479,12.6,76,0.516,14.2,25.7,0.244,0.516,14.7,72.8,0.219,"/teams/GSW/2016.htmlFirst"
1,5,0.390243902439024,0.526,12.4,23,0.197,0.477,14.1,79.1,0.477,12.3,25.3,0.231,0.518,15.2,75.1,0.251,"/teams/SAS/2016.htmlFirst"
1,3,0.231707317073171,0.524,14,31.1,0.228,0.484,11.7,76,0.502,12,20.6,0.211,0.504,12.8,76.2,0.198,"/teams/OKC/2016.htmlFirst"
0,1,0.121951219512195,0.524,12.1,20.1,0.22,0.48,13.8,73.8,0.511,13.2,25.9,0.202,0.503,12.1,76.2,0.225,"/teams/LAC/2016.htmlFirst"
1,3,0.073170731707317,0.524,12.7,25.1,0.194,0.496,12.6,78.5,0.516,13.8,19.1,0.185,0.48,14.4,74.6,0.194,"/teams/CLE/2016.htmlSemifinals"
1,1,0.0853658536585366,0.504,12.3,24.6,0.255,0.498,12.7,77.7,0.508,13.3,23.8,0.21,0.485,12.1,77.8,0.196,"/teams/TOR/2016.htmlSemifinals"
1,4,0.268292682926829,0.563,13.5,23.5,0.191,0.479,12.6,76,0.511,13.2,25.9,0.202,0.503,12.1,76.2,0.225,"/teams/GSW/2016.htmlSemifinals"
0,1,0.0975609756097561,0.526,12.4,23,0.197,0.477,14.1,79.1,0.524,14,31.1,0.228,0.484,11.7,76,0.205,"/teams/SAS/2016.htmlSemifinals"
1,1,0.048780487804878,0.524,12.7,25.1,0.194,0.496,12.6,78.5,0.504,12.3,24.6,0.255,0.498,12.7,77.7,0.201,"/teams/CLE/2016.htmlFinals"
1,2,0.0731707317073171,0.563,13.5,23.5,0.191,0.479,12.6,76,0.524,14,31.1,0.228,0.484,11.7,76,0.205,"/teams/GSW/2016.htmlFinals"
1,7,0.280487804878049,0.527,13.5,21.4,0.201,0.492,14.9,73.4,0.491,13,23.9,0.2,0.506,12.9,73.7,0.185,"/teams/ATL/2015.htmlFirst"
1,5,0.146341463414634,0.52,13.4,26.8,0.216,0.502,12.6,74.7,0.489,12.5,24.7,0.176,0.494,13.7,75,0.208,"/teams/CLE/2015.htmlFirst"
1,3,0.0975609756097561,0.489,12.9,27,0.238,0.473,11.3,74.4,0.499,15.5,25.4,0.195,0.487,15.9,73.3,0.221,"/teams/CHI/2015.htmlFirst"
0,1,0.073170731707317,0.508,12,25.6,0.232,0.506,13.4,73.3,0.499,14,24.9,0.192,0.481,12.9,77.3,0.21,"/teams/TOR/2015.htmlFirst"
1,7,0.268292682926829,0.54,13.1,24.1,0.184,0.47,14.3,74.5,0.501,12.5,27.1,0.198,0.496,11.7,75.1,0.195,"/teams/GSW/2015.htmlFirst"
1,5,0.0121951219512195,0.512,15,26.8,0.223,0.486,14.6,72.9,0.515,11.9,23.6,0.197,0.503,14.7,72.2,0.204,"/teams/HOU/2015.htmlFirst"
1,3,0,0.533,11.6,22.8,0.215,0.493,13.2,75.7,0.517,13.1,23.4,0.2,0.484,13.3,77.3,0.19,"/teams/LAC/2015.htmlFirst"
0,1,0.0365853658536586,0.508,12.6,24.2,0.18,0.476,11.3,76.2,0.489,12.6,24.7,0.214,0.492,14.5,75.3,0.183,"/teams/POR/2015.htmlFirst"
1,1,0.0365853658536586,0.52,13.4,26.8,0.216,0.502,12.6,74.7,0.489,12.9,27,0.238,0.473,11.3,74.4,0.182,"/teams/CLE/2015.htmlSemifinals"
1,4,0.158536585365854,0.527,13.5,21.4,0.201,0.492,14.9,73.4,0.499,14,24.9,0.192,0.481,12.9,77.3,0.21,"/teams/ATL/2015.htmlSemifinals"
1,1,-0.0975609756097561,0.512,15,26.8,0.223,0.486,14.6,72.9,0.533,11.6,22.8,0.215,0.493,13.2,75.7,0.231,"/teams/HOU/2015.htmlSemifinals"
1,4,0.182926829268293,0.54,13.1,24.1,0.184,0.47,14.3,74.5,0.489,12.6,24.7,0.214,0.492,14.5,75.3,0.183,"/teams/GSW/2015.htmlSemifinals"
0,1,0.0365853658536586,0.527,13.5,21.4,0.201,0.492,14.9,73.4,0.52,13.4,26.8,0.216,0.502,12.6,74.7,0.177,"/teams/ATL/2015.htmlFinals"
1,1,0.182926829268293,0.54,13.1,24.1,0.184,0.47,14.3,74.5,0.512,15,26.8,0.223,0.486,14.6,72.9,0.208,"/teams/GSW/2015.htmlFinals"
1,7,0.170731707317073,0.49,14.3,24.9,0.226,0.46,12.9,76.8,0.515,14.3,21,0.208,0.51,14,74.4,0.196,"/teams/IND/2014.htmlFirst"
1,5,0.170731707317073,0.554,14.6,20.6,0.228,0.511,15.8,73,0.481,11.7,21.9,0.219,0.491,12.6,77.6,0.183,"/teams/MIA/2014.htmlFirst"
0,3,0.146341463414634,0.498,13.2,27.2,0.239,0.493,14.1,74.9,0.514,14.1,21.7,0.236,0.509,14.9,72.3,0.236,"/teams/TOR/2014.htmlFirst"
0,1,0.0243902439024389,0.471,14.2,27.2,0.226,0.471,13.7,75.4,0.506,13.6,25.2,0.181,0.504,15,75.7,0.22,"/teams/CHI/2014.htmlFirst"
1,7,0.158536585365854,0.537,13.5,22.7,0.188,0.482,12.8,76.4,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229,"/teams/SAS/2014.htmlFirst"
1,5,0.146341463414634,0.52,14,26.5,0.244,0.488,13.9,75.6,0.494,13.1,28.3,0.184,0.497,13.8,75.7,0.199,"/teams/OKC/2014.htmlFirst"
1,3,0.0609756097560975,0.526,12.7,25,0.258,0.484,13.8,72.5,0.517,13.8,25.1,0.186,0.477,13.6,76.3,0.224,"/teams/LAC/2014.htmlFirst"
0,1,0.0121951219512195,0.531,14.6,27.4,0.275,0.489,12.5,74.1,0.504,12.4,28,0.22,0.488,11,74.7,0.194,"/teams/HOU/2014.htmlFirst"
1,4,0.109756097560976,0.49,14.3,24.9,0.226,0.46,12.9,76.8,0.506,13.6,25.2,0.181,0.504,15,75.7,0.22,"/teams/IND/2014.htmlSemifinals"
1,4,0.195121951219512,0.554,14.6,20.6,0.228,0.511,15.8,73,0.514,14.1,21.7,0.236,0.509,14.9,72.3,0.236,"/teams/MIA/2014.htmlSemifinals"
1,4,0.109756097560976,0.537,13.5,22.7,0.188,0.482,12.8,76.4,0.504,12.4,28,0.22,0.488,11,74.7,0.194,"/teams/SAS/2014.htmlSemifinals"
1,1,-0.0121951219512195,0.52,14,26.5,0.244,0.488,13.9,75.6,0.526,12.7,25,0.258,0.484,13.8,72.5,0.222,"/teams/OKC/2014.htmlSemifinals"
0,1,0,0.49,14.3,24.9,0.226,0.46,12.9,76.8,0.554,14.6,20.6,0.228,0.511,15.8,73,0.212,"/teams/IND/2014.htmlFinals"
1,1,0.0365853658536586,0.537,13.5,22.7,0.188,0.482,12.8,76.4,0.52,14,26.5,0.244,0.488,13.9,75.6,0.221,"/teams/SAS/2014.htmlFinals"
1,7,0.304878048780488,0.552,13.7,22.2,0.224,0.487,14.8,73,0.476,12.7,27.9,0.174,0.492,14.4,71.3,0.201,"/teams/MIA/2013.htmlFirst"
1,5,0.152514302920807,0.515,11.7,25.6,0.196,0.508,14.8,74.7,0.503,14.1,20.1,0.204,0.482,14.2,73.3,0.216,"/teams/NYK/2013.htmlFirst"
1,3,0.129780186690756,0.479,14.3,30.3,0.219,0.453,12.9,74.6,0.517,14.2,22.2,0.174,0.496,14.2,73.6,0.181,"/teams/IND/2013.htmlFirst"
0,1,0.0487804878048781,0.498,14,30.9,0.219,0.503,13.1,73.7,0.47,13.6,29.4,0.201,0.477,13.2,73.6,0.206,"/teams/BRK/2013.htmlFirst"
1,7,0.170731707317073,0.527,14.4,26.7,0.28,0.469,13.5,73.4,0.525,14.9,26.4,0.232,0.502,13.5,75.2,0.196,"/teams/OKC/2013.htmlFirst"
1,5,0.170731707317073,0.531,14,20.5,0.204,0.48,13.7,74.9,0.512,13.9,27,0.239,0.496,11.9,74.3,0.163,"/teams/SAS/2013.htmlFirst"
0,3,0.134146341463415,0.515,13.6,31.4,0.216,0.493,14.3,71.8,0.506,14,25.4,0.201,0.486,12.4,75.5,0.211,"/teams/DEN/2013.htmlFirst"
0,1,0.0609756097560975,0.526,13.9,28.8,0.203,0.492,15.4,73.5,0.472,13.3,31,0.202,0.475,15.2,74.3,0.209,"/teams/LAC/2013.htmlFirst"
1,4,0.24390243902439,0.552,13.7,22.2,0.224,0.487,14.8,73,0.47,13.6,29.4,0.201,0.477,13.2,73.6,0.206,"/teams/MIA/2013.htmlSemifinals"
0,1,0.00436615477265889,0.515,11.7,25.6,0.196,0.508,14.8,74.7,0.479,14.3,30.3,0.219,0.453,12.9,74.6,0.197,"/teams/NYK/2013.htmlSemifinals"
0,4,0.121951219512195,0.527,14.4,26.7,0.28,0.469,13.5,73.4,0.472,13.3,31,0.202,0.475,15.2,74.3,0.209,"/teams/OKC/2013.htmlSemifinals"
1,4,0.170731707317073,0.531,14,20.5,0.204,0.48,13.7,74.9,0.506,14,25.4,0.201,0.486,12.4,75.5,0.211,"/teams/SAS/2013.htmlSemifinals"
1,2,0.114122252333634,0.552,13.7,22.2,0.224,0.487,14.8,73,0.479,14.3,30.3,0.219,0.453,12.9,74.6,0.197,"/teams/MIA/2013.htmlFinals"
1,3,0.048780487804878,0.531,14,20.5,0.204,0.48,13.7,74.9,0.472,13.3,31,0.202,0.475,15.2,74.3,0.209,"/teams/SAS/2013.htmlFinals"
0,7,0.121212121212121,0.49,13.2,32.6,0.184,0.45,12.8,74.3,0.48,10.9,24.4,0.161,0.46,13.5,75.2,0.192,"/teams/CHI/2012.htmlFirst"
1,5,0.0909090909090909,0.505,14.5,26.6,0.238,0.479,15.8,73.9,0.492,14.9,26.6,0.227,0.485,15.9,73.7,0.224,"/teams/MIA/2012.htmlFirst"
1,3,0.0909090909090909,0.474,13.1,29.2,0.251,0.476,14.1,72.3,0.506,14.5,26.5,0.193,0.488,12.9,75.5,0.19,"/teams/IND/2012.htmlFirst"
1,1,-0.0303030303030303,0.496,14.7,19.7,0.2,0.452,14.9,72.4,0.5,13.4,23.9,0.192,0.48,14.4,74.4,0.186,"/teams/BOS/2012.htmlFirst"
1,7,0.212121212121212,0.528,12.8,25.1,0.195,0.489,12.9,76,0.481,13,30.2,0.227,0.493,13.8,73.8,0.245,"/teams/SAS/2012.htmlFirst"
1,5,0.166666666666667,0.516,15.3,27.8,0.269,0.465,13,72.1,0.489,13.4,23.4,0.19,0.479,13.9,74.8,0.203,"/teams/OKC/2012.htmlFirst"
1,3,-0.0454545454545455,0.491,14.2,29.1,0.226,0.476,10.7,74.8,0.516,14.1,27.7,0.239,0.508,14.3,74.3,0.185,"/teams/LAL/2012.htmlFirst"
0,1,-0.0151515151515151,0.473,13.6,29.8,0.211,0.485,16.3,72.7,0.502,12.7,29.5,0.195,0.492,14.2,73.2,0.245,"/teams/MEM/2012.htmlFirst"
1,1,0.0909090909090909,0.505,14.5,26.6,0.238,0.479,15.8,73.9,0.474,13.1,29.2,0.251,0.476,14.1,72.3,0.222,"/teams/MIA/2012.htmlSemifinals"
1,4,-0.0606060606060606,0.496,14.7,19.7,0.2,0.452,14.9,72.4,0.48,10.9,24.4,0.161,0.46,13.5,75.2,0.192,"/teams/BOS/2012.htmlSemifinals"
1,4,0.136363636363636,0.528,12.8,25.1,0.195,0.489,12.9,76,0.502,12.7,29.5,0.195,0.492,14.2,73.2,0.245,"/teams/SAS/2012.htmlSemifinals"
1,1,0.151515151515152,0.516,15.3,27.8,0.269,0.465,13,72.1,0.491,14.2,29.1,0.226,0.476,10.7,74.8,0.158,"/teams/OKC/2012.htmlSemifinals"
0,1,0.0303030303030303,0.528,12.8,25.1,0.195,0.489,12.9,76,0.516,15.3,27.8,0.269,0.465,13,72.1,0.207,"/teams/SAS/2012.htmlFinals"
1,2,0.121212121212121,0.505,14.5,26.6,0.238,0.479,15.8,73.9,0.496,14.7,19.7,0.2,0.452,14.9,72.4,0.216,"/teams/MIA/2012.htmlFinals"
1,7,0.280487804878049,0.501,13.5,29.4,0.227,0.463,13.6,76.2,0.486,14.1,25.9,0.235,0.487,12.8,74.1,0.237,"/teams/CHI/2011.htmlFirst"
1,5,0.195121951219512,0.524,13.5,25.2,0.279,0.475,12.6,75.5,0.494,12.3,24.6,0.21,0.487,13.5,74.5,0.231,"/teams/MIA/2011.htmlFirst"
1,3,0.170731707317073,0.519,14.5,21.1,0.235,0.469,14.8,74.7,0.513,12.6,24.2,0.246,0.511,13.8,71.9,0.24,"/teams/BOS/2011.htmlFirst"
0,1,0.207317073170732,0.521,14.3,26.1,0.227,0.475,13.3,76.9,0.501,13.5,23.4,0.209,0.495,12.3,74.6,0.211,"/teams/ORL/2011.htmlFirst"
0,7,0.0975609756097562,0.527,12.8,24.9,0.229,0.491,12.6,74.6,0.493,13,28.9,0.218,0.502,15.7,72.5,0.228,"/teams/SAS/2011.htmlFirst"
1,5,0.170731707317073,0.502,12.3,29.2,0.228,0.477,12.8,72.3,0.493,12.8,25.1,0.226,0.501,14.4,76.2,0.22,"/teams/LAL/2011.htmlFirst"
1,3,0.0853658536585366,0.525,13.6,24.1,0.222,0.488,13,74.8,0.486,12.6,29.5,0.224,0.51,15.4,72,0.231,"/teams/DAL/2011.htmlFirst"
1,1,-0.0365853658536586,0.501,13.1,27.4,0.299,0.493,12.9,73.6,0.526,13.1,23.9,0.281,0.5,12.7,75.4,0.224,"/teams/OKC/2011.htmlFirst"
1,4,0.268292682926829,0.501,13.5,29.4,0.227,0.463,13.6,76.2,0.501,13.5,23.4,0.209,0.495,12.3,74.6,0.211,"/teams/CHI/2011.htmlSemifinals"
1,1,0.0487804878048781,0.524,13.5,25.2,0.279,0.475,12.6,75.5,0.519,14.5,21.1,0.235,0.469,14.8,74.7,0.235,"/teams/MIA/2011.htmlSemifinals"
0,1,0.0609756097560975,0.502,12.3,29.2,0.228,0.477,12.8,72.3,0.525,13.6,24.1,0.222,0.488,13,74.8,0.206,"/teams/LAL/2011.htmlSemifinals"
1,4,0.0365853658536586,0.501,13.1,27.4,0.299,0.493,12.9,73.6,0.493,13,28.9,0.218,0.502,15.7,72.5,0.228,"/teams/OKC/2011.htmlSemifinals"
0,1,0,0.501,13.5,29.4,0.227,0.463,13.6,76.2,0.524,13.5,25.2,0.279,0.475,12.6,75.5,0.223,"/teams/CHI/2011.htmlFinals"
1,1,0.024390243902439,0.525,13.6,24.1,0.222,0.488,13,74.8,0.501,13.1,27.4,0.299,0.493,12.9,73.6,0.228,"/teams/DAL/2011.htmlFinals"
1,7,0.280487804878049,0.532,13.4,25.1,0.246,0.482,12.3,77.2,0.477,13.3,26.6,0.217,0.484,12.3,74.8,0.212,"/teams/CLE/2010.htmlFirst"
1,5,0.195121951219512,0.536,13.6,24.6,0.246,0.477,12.2,77.4,0.49,15.1,26.5,0.26,0.491,14.7,74.2,0.194,"/teams/ORL/2010.htmlFirst"
1,3,0.0975609756097561,0.506,11.4,28.2,0.213,0.496,13.2,72.7,0.482,12.3,26.2,0.181,0.486,14.6,76.4,0.266,"/teams/ATL/2010.htmlFirst"
1,1,0.0487804878048781,0.522,14.5,22.8,0.248,0.487,14.9,73.8,0.496,12.8,26.1,0.223,0.48,13.9,74.9,0.246,"/teams/BOS/2010.htmlFirst"
1,7,0.0365853658536586,0.496,12.4,27.6,0.221,0.484,13.2,74.4,0.494,13.9,28.6,0.268,0.483,14,73.6,0.229,"/teams/LAL/2010.htmlFirst"
0,5,-0.0731707317073171,0.506,12.3,24.3,0.226,0.495,13.6,73.7,0.515,12.9,26.8,0.219,0.483,12.1,76.3,0.214,"/teams/DAL/2010.htmlFirst"
1,3,0.0365853658536586,0.546,13.6,27.6,0.24,0.491,11.6,70.8,0.499,12.1,28.2,0.249,0.502,13.3,74.8,0.219,"/teams/PHO/2010.htmlFirst"
0,1,-0.0365853658536586,0.509,12.7,26.1,0.29,0.495,13.8,72.4,0.524,14.2,26.8,0.252,0.492,14.2,75.6,0.269,"/teams/DEN/2010.htmlFirst"
0,3,0.0853658536585366,0.532,13.4,25.1,0.246,0.482,12.3,77.2,0.522,14.5,22.8,0.248,0.487,14.9,73.8,0.251,"/teams/CLE/2010.htmlSemifinals"
1,1,0.0853658536585366,0.536,13.6,24.6,0.246,0.477,12.2,77.4,0.506,11.4,28.2,0.213,0.496,13.2,72.7,0.208,"/teams/ORL/2010.htmlSemifinals"
1,4,-0.0121951219512195,0.496,12.4,27.6,0.221,0.484,13.2,74.4,0.524,14.2,26.8,0.252,0.492,14.2,75.6,0.269,"/teams/LAL/2010.htmlSemifinals"
1,4,-0.0121951219512195,0.546,13.6,27.6,0.24,0.491,11.6,70.8,0.515,12.9,26.8,0.219,0.483,12.1,76.3,0.214,"/teams/PHO/2010.htmlSemifinals"
1,2,0,0.496,12.4,27.6,0.221,0.484,13.2,74.4,0.546,13.6,27.6,0.24,0.491,11.6,70.8,0.224,"/teams/LAL/2010.htmlFinals"
0,2,0.109756097560976,0.536,13.6,24.6,0.246,0.477,12.2,77.4,0.522,14.5,22.8,0.248,0.487,14.9,73.8,0.251,"/teams/ORL/2010.htmlFinals"
1,7,0.304878048780488,0.519,12.5,27.7,0.236,0.468,13.5,74.6,0.483,11.7,27.9,0.212,0.485,11.7,74,0.248,"/teams/CLE/2009.htmlFirst"
1,5,0.25609756097561,0.528,15,27.9,0.251,0.47,14,75.6,0.493,13.3,28,0.239,0.493,13.1,70.9,0.238,"/teams/BOS/2009.htmlFirst"
1,3,0.219512195121951,0.52,13.4,24,0.251,0.465,12.3,75.9,0.485,13.4,31.3,0.253,0.507,14.9,71.4,0.216,"/teams/ORL/2009.htmlFirst"
1,1,0.0487804878048781,0.504,12.5,26,0.238,0.494,13.2,71.6,0.5,12.1,24.6,0.212,0.501,14.5,72.9,0.251,"/teams/ATL/2009.htmlFirst"
